1,Date,AMZN,GOOG,META,MSFT,ORCL
251,2020-12-28,164.197998046875,88.80449676513672,277.0,224.9600067138672,64.87000274658203
252,2020-12-29,166.10000610351562,87.93599700927734,276.7799987792969,224.14999389648438,64.45999908447266
253,2020-12-30,164.29249572753906,86.97599792480469,271.8699951171875,221.67999267578125,64.4000015258789
254,2020-12-31,162.84649658203125,87.59400177001953,273.1600036621094,222.4199981689453,64.69000244140625
255,2021-01-04,159.3314971923828,86.41200256347656,268.94000244140625,217.69000244140625,63.75
256,2021-01-05,160.92550659179688,87.0459976196289,270.9700012207031,217.89999389648438,62.959999084472656
257,2021-01-06,156.91900634765625,86.7645034790039,263.30999755859375,212.25,62.56999969482422
258,2021-01-07,158.10800170898438,89.36250305175781,268.739990234375,218.2899932861328,63.06999969482422
259,2021-01-08,159.13499450683594,90.3604965209961,267.57000732421875,219.6199951171875,63.380001068115234
260,2021-01-11,155.7104949951172,88.33599853515625,256.8399963378906,217.49000549316406,63.029998779296875
261,2021-01-12,156.04150390625,87.32749938964844,251.08999633789062,214.92999267578125,62.41999816894531
262,2021-01-13,158.29449462890625,87.72000122070312,251.63999938964844,216.33999633789062,62.060001373291016
263,2021-01-14,156.37350463867188,87.00900268554688,245.63999938964844,213.02000427246094,61.599998474121094
264,2021-01-15,155.21249389648438,86.80950164794922,251.36000061035156,212.64999389648438,61.779998779296875
265,2021-01-19,156.03799438476562,89.54299926757812,261.1000061035156,216.44000244140625,61.290000915527344
266,2021-01-20,163.16900634765625,94.34500122070312,267.4800109863281,224.33999633789062,61.560001373291016
267,2021-01-21,165.34950256347656,94.5625,272.8699951171875,224.97000122070312,61.209999084472656
268,2021-01-22,164.6114959716797,95.05249786376953,274.5,225.9499969482422,60.36000061035156
269,2021-01-25,164.6999969482422,94.97000122070312,278.010009765625,229.52999877929688,60.900001525878906
270,2021-01-26,166.30650329589844,95.86199951171875,282.04998779296875,232.3300018310547,61.79999923706055
271,2021-01-27,161.62899780273438,91.53949737548828,272.1400146484375,232.89999389648438,62.54999923706055
272,2021-01-28,161.88099670410156,93.15550231933594,265.0,238.92999267578125,61.220001220703125
273,2021-01-29,160.30999755859375,91.78700256347656,258.3299865722656,231.9600067138672,60.43000030517578
274,2021-02-01,167.1439971923828,95.06749725341797,262.010009765625,239.64999389648438,61.5099983215332
275,2021-02-02,169.0,96.37550354003906,267.0799865722656,239.50999450683594,62.369998931884766
276,2021-02-03,165.62649536132812,103.50350189208984,266.6499938964844,243.0,62.16999816894531
277,2021-02-04,166.5500030517578,103.11849975585938,266.489990234375,242.00999450683594,63.349998474121094
278,2021-02-05,167.6074981689453,104.9000015258789,268.1000061035156,242.1999969482422,63.599998474121094
279,2021-02-08,166.14700317382812,104.64550018310547,266.5799865722656,242.47000122070312,63.11000061035156
280,2021-02-09,165.25,104.17549896240234,269.45001220703125,243.77000427246094,63.66999816894531
281,2021-02-10,164.32899475097656,104.76899719238281,271.8699951171875,242.82000732421875,63.27000045776367
282,2021-02-11,163.10650634765625,104.79450225830078,270.3900146484375,244.49000549316406,62.70000076293945
283,2021-02-12,163.885498046875,105.20549774169922,270.5,244.99000549316406,63.08000183105469
284,2021-02-16,163.44749450683594,106.09500122070312,273.9700012207031,243.6999969482422,62.13999938964844
285,2021-02-17,165.4320068359375,106.41549682617188,273.57000732421875,244.1999969482422,62.09000015258789
286,2021-02-18,166.4114990234375,105.86000061035156,269.3900146484375,243.7899932861328,62.06999969482422
287,2021-02-19,162.4949951171875,105.05699920654297,261.55999755859375,240.97000122070312,61.130001068115234
288,2021-02-22,159.03700256347656,103.24400329589844,260.3299865722656,234.50999450683594,64.44999694824219
289,2021-02-23,159.72500610351562,103.54299926757812,265.8599853515625,233.27000427246094,64.5
290,2021-02-24,157.97650146484375,104.75849914550781,264.30999755859375,234.5500030517578,64.69999694824219
291,2021-02-25,152.85800170898438,101.56800079345703,254.69000244140625,228.99000549316406,65.30000305175781
292,2021-02-26,154.64649963378906,101.84300231933594,257.6199951171875,232.3800048828125,64.51000213623047
293,2021-03-01,157.3070068359375,104.07550048828125,264.9100036621094,236.94000244140625,66.16999816894531
294,2021-03-02,154.72650146484375,103.79199981689453,259.0,233.8699951171875,66.66000366210938
295,2021-03-03,150.25,101.33550262451172,255.41000366210938,227.55999755859375,66.91000366210938
296,2021-03-04,148.8784942626953,102.45449829101562,257.6400146484375,226.72999572753906,65.61000061035156
297,2021-03-05,150.0229949951172,105.427001953125,264.2799987792969,231.60000610351562,69.97000122070312
298,2021-03-08,147.59750366210938,101.20850372314453,255.30999755859375,227.38999938964844,72.16000366210938
299,2021-03-09,153.1425018310547,102.63500213623047,265.739990234375,233.77999877929688,72.63999938964844
300,2021-03-10,152.8820037841797,102.75150299072266,264.8999938964844,232.4199981689453,72.12000274658203
301,2021-03-11,155.67950439453125,105.7385025024414,273.8800048828125,237.1300048828125,67.41000366210938
302,2021-03-12,154.47450256347656,103.09600067138672,268.3999938964844,235.75,67.16000366210938
303,2021-03-15,154.08399963378906,103.32450103759766,273.75,234.80999755859375,67.7300033569336
304,2021-03-16,154.59300231933594,104.6259994506836,279.2799987792969,237.7100067138672,66.8499984741211
305,2021-03-17,156.7864990234375,104.55400085449219,284.010009765625,237.0399932861328,66.22000122070312
306,2021-03-18,151.39950561523438,101.81099700927734,278.6199951171875,230.72000122070312,66.73999786376953
307,2021-03-19,153.7480010986328,102.16000366210938,290.1099853515625,230.35000610351562,66.26000213623047
308,2021-03-22,155.5435028076172,101.92949676513672,293.5400085449219,235.99000549316406,66.31999969482422
309,2021-03-23,156.875,102.64800262451172,290.6300048828125,237.5800018310547,67.2699966430664
310,2021-03-24,154.35350036621094,102.25299835205078,282.1400146484375,235.4600067138672,66.83000183105469
311,2021-03-25,152.31300354003906,102.21800231933594,278.739990234375,232.33999633789062,68.62999725341797
312,2021-03-26,152.60150146484375,101.77749633789062,283.0199890136719,236.47999572753906,70.25
313,2021-03-29,153.7864990234375,102.79750061035156,290.82000732421875,235.24000549316406,71.12999725341797
314,2021-03-30,152.76449584960938,102.7770004272461,288.0,231.85000610351562,70.55000305175781
315,2021-03-31,154.70399475097656,103.43150329589844,294.5299987792969,235.77000427246094,70.16999816894531
316,2021-04-01,158.0500030517578,106.88749694824219,298.6600036621094,242.35000610351562,71.80999755859375
317,2021-04-05,161.3365020751953,111.27749633789062,308.9100036621094,249.07000732421875,74.16000366210938
318,2021-04-06,161.1909942626953,111.23750305175781,306.260009765625,247.86000061035156,74.27999877929688
319,2021-04-07,163.96949768066406,112.48400115966797,313.0899963378906,249.89999389648438,74.06999969482422
320,2021-04-08,164.96499633789062,113.27200317382812,313.0199890136719,253.25,75.27999877929688
321,2021-04-09,168.61000061035156,114.29399871826172,312.4599914550781,255.85000610351562,75.58000183105469
322,2021-04-12,168.96949768066406,112.739501953125,311.5400085449219,255.91000366210938,76.12000274658203
323,2021-04-13,170.0,113.3635025024414,309.760009765625,258.489990234375,76.66999816894531
324,2021-04-14,166.64999389648438,112.74199676513672,302.82000732421875,255.58999633789062,76.81999969482422
325,2021-04-15,168.95449829101562,114.83300018310547,307.82000732421875,259.5,78.29000091552734
326,2021-04-16,169.9720001220703,114.88800048828125,306.17999267578125,260.739990234375,78.94999694824219
327,2021-04-19,168.60049438476562,115.12000274658203,302.239990234375,258.739990234375,78.75
328,2021-04-20,166.7344970703125,114.68150329589844,302.6499938964844,258.260009765625,79.23999786376953
329,2021-04-21,168.1009979248047,114.66449737548828,301.4700012207031,260.5799865722656,76.66000366210938
330,2021-04-22,165.45199584960938,113.39600372314453,296.5199890136719,257.1700134277344,74.87000274658203
331,2021-04-23,167.04400634765625,115.76499938964844,301.1300048828125,261.1499938964844,74.97000122070312
332,2021-04-26,170.4499969482422,116.33699798583984,303.0400085449219,261.54998779296875,74.5
333,2021-04-27,170.8715057373047,115.35600280761719,303.57000732421875,261.9700012207031,75.22000122070312
334,2021-04-28,172.9250030517578,118.99549865722656,307.1000061035156,254.55999755859375,74.7699966430664
335,2021-04-29,173.5655059814453,121.49449920654297,329.510009765625,252.50999450683594,75.87000274658203
336,2021-04-30,173.37100219726562,120.50599670410156,325.0799865722656,252.17999267578125,75.79000091552734
337,2021-05-03,169.32449340820312,119.75849914550781,322.5799865722656,251.86000061035156,77.33000183105469
338,2021-05-04,165.593505859375,117.7125015258789,318.3599853515625,247.7899932861328,78.52999877929688
339,2021-05-05,163.52699279785156,117.83699798583984,315.0199890136719,246.47000122070312,79.19000244140625
340,2021-05-06,165.31849670410156,119.06749725341797,320.0199890136719,249.72999572753906,79.73999786376953
341,2021-05-07,164.58050537109375,119.93450164794922,319.0799865722656,252.4600067138672,80.4000015258789
342,2021-05-10,159.52450561523438,117.08300018310547,305.9700012207031,247.17999267578125,80.1500015258789
343,2021-05-11,161.19549560546875,115.43800354003906,306.5299987792969,246.22999572753906,77.69000244140625
344,2021-05-12,157.5970001220703,111.9540023803711,302.54998779296875,239.0,76.75
345,2021-05-13,158.07350158691406,113.09850311279297,305.260009765625,243.02999877929688,78.13999938964844
346,2021-05-14,161.14500427246094,115.80799865722656,315.94000244140625,248.14999389648438,78.88999938964844
347,2021-05-17,163.51950073242188,116.07050323486328,315.4599914550781,245.17999267578125,79.08000183105469
348,2021-05-18,161.61399841308594,115.17150115966797,309.9599914550781,243.0800018310547,78.69000244140625
349,2021-05-19,161.58999633789062,115.43550109863281,313.5899963378906,243.1199951171875,78.73999786376953
350,2021-05-20,162.38400268554688,117.80449676513672,318.6099853515625,246.47999572753906,78.72000122070312
351,2021-05-21,160.1540069580078,117.25499725341797,316.2300109863281,245.1699981689453,79.02999877929688
352,2021-05-24,162.24949645996094,120.33350372314453,324.6300048828125,250.77999877929688,79.37999725341797
353,2021-05-25,162.95249938964844,120.45349884033203,327.7900085449219,251.72000122070312,78.83000183105469
354,2021-05-26,163.25799560546875,121.67649841308594,327.6600036621094,251.49000549316406,79.26000213623047
355,2021-05-27,161.5054931640625,120.12550354003906,332.75,249.30999755859375,78.9800033569336
356,2021-05-28,161.15350341796875,120.5780029296875,328.7300109863281,249.67999267578125,78.73999786376953
357,2021-06-01,160.9324951171875,121.4905014038086,329.1300048828125,247.39999389648438,79.56999969482422
358,2021-06-02,161.69949340820312,121.06400299072266,329.1499938964844,247.3000030517578,80.2699966430664
359,2021-06-03,159.35049438476562,120.23049926757812,326.0400085449219,245.7100067138672,81.08999633789062
360,2021-06-04,160.31100463867188,122.58799743652344,330.3500061035156,250.7899932861328,82.88999938964844
361,2021-06-07,159.90049743652344,123.30449676513672,336.5799865722656,253.80999755859375,83.94000244140625
362,2021-06-08,163.20550537109375,124.14250183105469,333.67999267578125,252.57000732421875,84.61000061035156
363,2021-06-09,164.0574951171875,124.56999969482422,330.25,253.58999633789062,84.5199966430664
364,2021-06-10,167.4824981689453,126.08000183105469,332.4599914550781,257.239990234375,82.30000305175781
365,2021-06-11,167.3415069580078,125.69650268554688,331.260009765625,257.8900146484375,82.9000015258789
366,2021-06-14,169.19349670410156,126.35199737548828,336.7699890136719,259.8900146484375,82.62000274658203
